model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_1_AutoML_1_20260521_215026,0.823831116135092,0.3831200526486616,0.9365355550685608,0.34926795104221,0.3447959173079751,0.118884224592248
StackedEnsemble_BestOfFamily_1_AutoML_1_20260521_215026,0.8214933742751229,0.3856339663963178,0.9357425607113856,0.351689601085013,0.3461831273612639,0.119842757669625
GBM_2_AutoML_1_20260521_215026,0.8197750572148819,0.3883672881665497,0.9347280387973966,0.3543935052350911,0.3474637201257867,0.120731036803651
GBM_5_AutoML_1_20260521_215026,0.8195015741629468,0.3893694249507737,0.9349075326277552,0.3549242291554133,0.3481776919933754,0.1212277052018338
GBM_3_AutoML_1_20260521_215026,0.8194404653459979,0.3885936110430807,0.9343414932457162,0.3572666400912273,0.3474407423971346,0.120715069477472
GBM_grid_1_AutoML_1_20260521_215026_model_5,0.8176022525033548,0.3906639115182408,0.9331772380987436,0.3489329303982628,0.3483581655734856,0.121353411521724
GBM_1_AutoML_1_20260521_215026,0.8157114001975669,0.3936480965842758,0.9326006408548676,0.3575652966233897,0.3495138924524328,0.1221599610172507
GBM_4_AutoML_1_20260521_215026,0.8152642444638445,0.3930725333854404,0.9318595230592922,0.3553347838419846,0.3493345523137974,0.1220346294402812
GBM_grid_1_AutoML_1_20260521_215026_model_1,0.8147309475269362,0.3953081654760729,0.9331885207634968,0.3594494511760017,0.3513368970750689,0.1234376152463375
GBM_grid_1_AutoML_1_20260521_215026_model_2,0.8105036190218804,0.3980939188712288,0.9295720508994544,0.3656772703355401,0.3517644595866251,0.1237382350282704
DeepLearning_grid_3_AutoML_1_20260521_215026_model_1,0.8092611306413693,0.3975001949815477,0.930494609404092,0.3653443100195966,0.3520975436639527,0.1239726802541891
DeepLearning_grid_1_AutoML_1_20260521_215026_model_1,0.8086108495223703,0.3989855297430201,0.9296095711903978,0.3691016521928934,0.3525783884828431,0.1243115200251586
DeepLearning_grid_2_AutoML_1_20260521_215026_model_1,0.8084712521117388,0.3980235116543194,0.929829298220014,0.37019949087837,0.3521439053998095,0.1240053301102299
DeepLearning_grid_2_AutoML_1_20260521_215026_model_2,0.8064356025821611,0.4017361309702827,0.928086792000724,0.3689760116302966,0.353291569435092,0.1248149330339104
DeepLearning_grid_3_AutoML_1_20260521_215026_model_2,0.8053411452871453,0.4023285799054367,0.928216742352026,0.3677435905178809,0.3543269095053097,0.125547558799584
DeepLearning_grid_1_AutoML_1_20260521_215026_model_2,0.8047627221813203,0.4103969264201,0.9265834419222442,0.368959487677289,0.3556289287335216,0.1264719349521522
DRF_1_AutoML_1_20260521_215026,0.8045872148068204,0.4274320642132269,0.928367853396705,0.3750719174824337,0.3681953678044121,0.1355678288726263
DeepLearning_1_AutoML_1_20260521_215026,0.8043209586236045,0.4036694034953081,0.9284769218727638,0.3805696432510751,0.3552511807266903,0.1262034014077075
GBM_grid_1_AutoML_1_20260521_215026_model_4,0.80175933209451,0.4209200866975637,0.9260048831616354,0.3735602553021522,0.3616094854829032,0.1307614199912099
XRT_1_AutoML_1_20260521_215026,0.7998693410009098,0.4309206495677503,0.9269088400045756,0.3842252880463504,0.3712073460333555,0.1377948937491273
GBM_grid_1_AutoML_1_20260521_215026_model_3,0.7910204638240348,0.4287258019218483,0.9212345822097762,0.3902532923763445,0.3666386606339731,0.1344239074714737
GLM_1_AutoML_1_20260521_215026,0.7428706554523,0.4514582465134331,0.9061763117554664,0.464062485398348,0.3801643346464401,0.1445249213371705
